gene	p
FAM184A	0.0128729871181472
SS18L2	0.0128928293847926
EP300	0.0129033837819444
CCNA1	0.0129147825308684
LOC100128719	0.0130110386328932
SLC2A1	0.0130283478442221
SCARNA8	0.0130996955689685
CXXC6P1	0.0131355805192848
HCG4P4	0.0131402244540316
LOC387720	0.0132052395404869
LMX1A	0.013211994354664
LOC100131425	0.013303606521942
MGST2	0.0135358032592823
PSMD13	0.0135383363145987
UGT1A12P	0.0135459354805481
HLA-W	0.0135856200138389
TRIM15	0.0136155945017501
LOC100132158	0.0137616673583315
TMEM86A	0.0137975523086478
ADAMTSL3	0.0138000853639642
LOC100288040	0.0139026741042799
SLC15A1	0.0139195611397229
FAM63A	0.0139478469240898
LOC100233209	0.0139689557183935
ZBTB47	0.013989220160925
DDX47	0.0140888536700383
ZNF322A	0.0140939197806712
LOC648934	0.0141078515849116
GALM	0.0141124955196584
FOXI2	0.0141264273238988
ATP5L	0.0141627344501011
PITPNM2	0.0141889093550377
SLC39A4	0.0142661675421891
ZNF543	0.014282632401746
BATF3	0.014283054577632
UBQLN1P	0.0143142955932014
FKBP1A	0.0143151399449736
LOC727963	0.0143286495733279
TNFRSF10B	0.0143366709151633
LOC100130714	0.0143759332725681
SCAND3	0.0144371487760487
ZNF720P1	0.0144481253490867
RPL15P20	0.0144548801632639
ADCK1	0.0144599462738967
C13ORF38	0.0145401596922506
CCDC89	0.0145895542709212
LDHC	0.0146326162113007
SDCBP2	0.0147242283785787
LOC729870	0.0147592689771228
AGPAT4	0.0147761560125657
BNIPL	0.0148652351245271
RPL13AP7	0.0148808556323118
LOC100131775	0.0148821221599701
CPNE3	0.0148901435018054
SELT	0.0149264506280078
FAM55C	0.0149306723868685
MREG	0.0151168519526268
CFB	0.0151700461142721
ZNF687	0.0151890440291453
OR9K2	0.0152029758333857
RBM38	0.0152321059695248
LOC100289058	0.0152489930049677
LOC284067	0.0153351168857268
SH3TC1	0.0153363834133849
TRIM39	0.0153460934587646
HOXD1	0.0153507373935114
COX6CP2	0.0153878888714859
SELO	0.0153933771580048
RAD50	0.0153937993338908
OR2AM1P	0.0154575478926879
GNRH2	0.0154617696515487
FAM5B	0.015561403160662
TESC	0.0155694245024974
SCN4B	0.0155955994074339
LOC100132402	0.0156259960712312
LOC100131203	0.0156893224541422
SLC25A36	0.0157446274952178
LOC100287876	0.0157450496711039
ZIC5	0.0157522266611672
C12ORF36	0.0157602480030025
RPL13AP17	0.0159274296538875
NDRG1	0.0160747690381271
RPS20	0.01614864981819
FDXP2	0.0161642703259747
IRF2BP2	0.0161655368536329
OSTC	0.0161828460649619
QDPR	0.0161967778692023
ABCD4	0.0162145092564174
NET1	0.016223797125911
LOC730196	0.016235195874835
ZFP57	0.0162525050861639
BRUNOL5	0.0162710808251512
ZNF165	0.0163293410974293
NAT14	0.0163462281328722
COLEC11	0.0163542494747076
RPL7AP67	0.0163664925754038
GPS2	0.0163770469725556
HLA-DQB1	0.0164897679341371
OR7E160P	0.0165011666830611
ST5	0.0165020110348333
CRHR1	0.016564070890086
GPR17	0.01657546963901
HCP5P14	0.0165788470460987
ZNF35	0.0165936232021112
LOC100129195	0.0166071328304656
TMEM206	0.0166138876446428
CBX5	0.0166890349523637
YARS	0.0167143655055282
ZKSCAN4	0.0167595383253381
ZNF215	0.0167616492047684
TMED6	0.0168000672104011
STBD1	0.0168291973465401
CALCOCO2	0.0168376408642615
BAT4	0.0168431291507806
KIAA0495	0.0169634492783114
LOC100287431	0.0169993342286276
SNRPA	0.0170977012100827
PSPN	0.0171546949547027
HAPLN2	0.017191002080905
ARSA	0.0172577058709045
RRP12	0.0173235653091319
LOC389369	0.017386891692043
PRPF19	0.0174058896069162
RPL13AP10	0.0174814590905233
LOC728323	0.0175494294081812
SART1	0.0176017792180543
LOC647163	0.0176511737967249
RPL13AP15	0.0176845256917246
MDS2	0.0177009905512815
C1ORF52	0.0178314429000781
C17ORF98	0.0178466412319768
STAG1	0.0179070123836853
MCL1	0.0179412086304572
C2ORF81	0.0179542960829254
PLXNB2	0.0179707609424823
F2R	0.0180475969537477
RPL13P10	0.0180750383863424
SNHG12	0.0180796823210893
MAP2K1	0.0181535631011521
DUSP12	0.0181696057848229
LOC343981	0.0181966250415315
EPB41L2	0.0182156229564049
ARHGAP24	0.0182477083237464
CDC23	0.0182650175350755
FLJ40194	0.0182954141988727
HSPA2	0.0183034355407081
HIST1H2BK	0.0183042798924803
SFPQ	0.0183342543803915
LOC100289128	0.0183355209080497
LOC100128703	0.0184001138186188
TES	0.0184279774270997
RPL7P21	0.018469350663935
LOC100288832	0.018469772839821
GAL3ST2	0.018550408434061
EPHX3	0.0185622293588711
FZD7	0.0186162678722884
PPP1R3B	0.0186166900481745
NUDT7	0.018677483375769
ADAMDEC1	0.0186867712452626
HCP5P13	0.0186973256424144
LOC729974	0.0187019695771613
C5ORF15	0.0187323662409585
SLC17A3	0.018815534890515
UROC1	0.0188577524791224
MYC	0.0188687290521603
NAALADL2	0.0188754838663374
LOC388553	0.0189485202946281
ERI1	0.0189544307570332
LOC100289269	0.0189611855712103
KIAA1279	0.0189641408024128
OR14J1	0.0190034031598176
HHLA1	0.019062929959754
LDHA	0.0191536977752598
C19ORF30	0.0191912714291202
USP8	0.0192377107765883
LOC100288076	0.0192381329524743
GLB1L3	0.0193052589183601
PSMD4	0.019333544702727
PTRH1	0.0193533869693724
SYNCRIP	0.0194154468246251
ARGFX	0.019431911684182
CREB3L3	0.019461041820321
OR56A4	0.0194635748756375
SEMA4G	0.0195383000074725
BRD4	0.0196079590286746
TSPYL6	0.0197354561462687
SLC2A5	0.0197603645235471
C4ORF32	0.0197650084582939
LOC100130731	0.0197692302171546
SNRPG	0.0198156695646227
EXT2	0.0198815290028501
LOC100289537	0.019897993862407
ZNF750	0.0199229022396853
3.8-1.5	0.0199233244155713
NGLY1	0.0199313457574067
PGGT1B	0.0199731411701281
C8ORF46	0.0200060708892418
NCRNA00171	0.0200200026934821
STX7	0.0200465997743048
LOC643810	0.0201006382877221
C19ORF35	0.0201876065202533
LOC100287675	0.0201909839273419
LOC100287303	0.0202446002648732
USO1	0.0202479776719617
LOC442293	0.020266975586835
EFCAB7	0.0202758412804426
IKBKAP	0.0202982166024045
RCC1	0.0203801187243027
MICC	0.0204303576547454
RPL12P33	0.0204392233483529
VPS16A	0.0206777527239843
LOC100288190	0.0207415012827814
C6ORF100	0.0207440343380979
STXBP2	0.0207659874841737
SGSM1	0.0208048276656925
PAQR8	0.0208162264146164
GP1BA	0.0209027724712614
ATP5G3	0.0209614549194256
LOC100288374	0.0210150712569569
EDAR	0.0211028838412601
HCG4P10	0.0211611441135383
P2RY13	0.0212004064709431
PPP1R3E	0.0212219374411329
EPO	0.0212476901701834
IPO11	0.0213228374779044
RPL7AP7	0.021343946272208
LOC100133176	0.0213620998353092
KLF17	0.0214114944139797
CACNB2	0.0215487015769535
SLC15A3	0.0215537676875864
BMPR1B	0.0215546120393586
NPNT	0.0216124501357506
ZNF24	0.0216204714775861
LOC100127917	0.0216901304987881
JSRP1	0.0217661221582813
CCNI2	0.0218155167369519
RBM18	0.0219007962659388
ATP2A3	0.0219231715879006
LOC100130325	0.0219375255680271
STK19	0.0220354703735961
UBE2Q2	0.0220548904643555
DIMT1L	0.0220802210175198
LOC26010	0.0221237051337855
LOC100287784	0.0221359482344815
G3BP2	0.0221465026316334
FOXA3	0.0221541017975827
LOC100129138	0.0221600122599878
VAMP1	0.0221655005465067
LOC644094	0.0221777436472028
TRAF3IP3	0.0221967415620761
GPR61	0.0222144729492912
LOC124199	0.0222334708641645
C16ORF82	0.0222360039194809
RPL35AP32	0.0222452917889745
TMEM38A	0.0223563240470118
LOC100287677	0.0224107847363153
LOC100132484	0.0225851433772636
IL3	0.0225927425432129
MRPL43	0.0226041412921368
APOBEC2	0.0226062521715672
PPP3CA	0.0226151178651748
LOC692246	0.0227455702139714
IDI2	0.0227755447018826
OR52B5P	0.0227974978479584
PLAG1	0.0228853104322617
LOC100289178	0.0229009309400464
B3GALT5	0.0229165514478311
MIOS	0.0229469481116283
ZIC4	0.0230191401881469
CYP8B1	0.0230643130079567
LOC100128908	0.0230681125909314
LOC401957	0.0231702791553612
LOC375337	0.0232281172517532
FBXW8	0.023249648221943
RPL19P3	0.0234024758927015
CHP2	0.0234311838529544
LOC441940	0.0234510261195999
ZNF547	0.0234615805167517
LOC100288446	0.0234615805167517
ATAD2	0.0234907106528908
LOC100287056	0.0234987319947262
HLA-DQA2	0.0235156190301691
NUP37	0.0235173077337134
NCAPD2	0.0235236403720045
PCNX	0.0235975211520674
TULP1	0.023618629946371
TSPAN18	0.0236236960570039
LOC100287744	0.0236540927208011
F2RL1	0.0236540927208011
DAND5	0.0236688688768137
TMEM132A	0.0236819563292819
LOC728940	0.0236840672087124
CHADL	0.0237127751689653
SDCCAG3L	0.0237220630384589
HIST1H4C	0.0237389500739019
TKTL2	0.0237495044710537
HCG4P9	0.0237579479887752
NEU2	0.0237701910894713
GYS1	0.0238390057589013
LRP5L	0.0238803789957365
KAT5	0.0238905112170023
PDLIM5	0.0239914112537737
BEST1	0.024015897455166
HSPB8	0.0240256075005456
DUSP3	0.0240543154607986
ESPNP	0.0240606480990897
ADAM15	0.024102021335925
ZNF726	0.024137061934469
OR52N3P	0.0241780129954181
LOC100288365	0.0242084096592154
LOC442113	0.0242704695144682
HCG4	0.0242759578009871
LOC100287443	0.0242945335399744
KRT23	0.0243122649271894
TMCO2	0.0244114762604166
LOC644743	0.0244520051454797
LOC136157	0.0244549603766823
RBM24	0.0244950670858591
IGF2R	0.0245267302773147
C9ORF119	0.0245431951368715
TADA1L	0.0246360738318077
LOC100286952	0.0246757583650985
HLA-DRB9	0.0248201425181356
CALCA	0.0248585605237683
LOC100132659	0.0249476396357298
NBPF1	0.0249670597264892
CACNG3	0.0249814137066157
XAF1	0.0249928124555396
LOC100131770	0.0250105438427547
RPRD1B	0.0250540279590202
TMEM42	0.0250797806880707
ZNF304	0.0251701263276904
EIF2A	0.0251819472525004
CDX2	0.0252186765545889
TRABD	0.0252524506254747
ERN1	0.0252874912240187
LOC100288327	0.0253655937629423
DMPK	0.0253955682508535
C17ORF93	0.0254116109345243
HSP90AB2P	0.0254420075983216
LSP1	0.0254525619954734
EXOSC1	0.0254876025940175
GLS2	0.0256024344350294
C1ORF216	0.0256290315158521
LOC100128028	0.0256885583157884
SLC22A18AS	0.0257425968292058
OR9K1P	0.0257489294674969
TPM2	0.0257527290504715
RPP38	0.0257953688149649
ZMAT3	0.0257953688149649
VASN	0.0258050788603447
UPP1	0.0259004906105972
LOC100288205	0.0259068232488883
FN3KRP	0.0259883031949004
ANKRD29	0.0260068789338876
UTS2	0.0260106785168623
TAP2	0.0260469856430646
CDCA7L	0.0261407086897729
HHIPL2	0.0262546961790127
TRGV6	0.0262606066414177
RPL29P23	0.0262817154357214
LOC650866	0.0263247773761008
TAF6L	0.0263809267689487
PACSIN2	0.0264320100511635
CDKL2	0.0264472083830621
MAP2K4	0.0265312213843907
ENO1P	0.026532910087935
C1ORF62	0.026590326008441
SNX29	0.026653230215466
NLRP6	0.0267363988650223
DNAJC8	0.0267553967798957
PTBP1	0.0267693285841361
IL1R1	0.0268174566351485
SESN2	0.0268985144052745
KCTD8	0.0269006252847048
C10ORF2	0.0269006252847048
SUFU	0.0269023139882492
ZNF852	0.0269056913953377
ALKBH7	0.0270783613327418
LOC100127973	0.0270783613327418
KBTBD2	0.0271328220220451
REG1A	0.0272560973807786
CLCC1	0.0273092915424238
SLC17A4	0.027339266030335
CES8	0.0273540421863476
RPS23P2	0.0273696626941323
ARHGAP19	0.0273806392671702
SUZ12	0.0273819057948285
C1ORF227	0.0273937267196385
CMTM4	0.0274422769465369
LOC100288974	0.0274494539366001
KCTD12	0.0275448656868528
STAMBPL1	0.0276086142456498
LOC100288596	0.027667296693814
HSPA1A	0.0276753180356494
PDE4C	0.0277584866852059
LOC100128384	0.0278192800128003
PRRT1	0.0279379114367869
LOC100288622	0.0279387557885591
CHI3L1	0.0279459327786223
PHC2	0.0279501545374831
H6PD	0.0279699968041286
ASTE1	0.0279877281913437
LOC100287077	0.0279949051814069
MUC12	0.0280514767501406
LOC100286991	0.0280620311472926
ZNF197	0.0281713747017855
JAK3	0.02820852617976
LILRA5	0.0282549655272281
HLA-L	0.0282570764066584
RAB4B	0.0282617203414052
LOC100130431	0.0282642533967217
TRAV6	0.0283360232973541
EMX2OS	0.028347422046278
NARS	0.0283765521824171
LOC100131131	0.0283828848207083
TRNAL-UAA	0.0284204584745688
LOC100287214	0.0284732304603279
E2F3	0.0285124928177327
IFI27L1	0.0285585099893148
LOC100287890	0.0287256916401998
RPS10P14	0.0287936619578576
CHD2	0.0288506557024775
CALY	0.0288776749591861
C6ORF125	0.0289599992569705
LOC728589	0.0289730867094388
SLC5A7	0.0290372574441219
LOC100169752	0.0290870741986785
LOC100132393	0.0291406905362098
MCM8	0.0291453344709566
FBXO40	0.029152933636906
SNHG3-RCC1	0.0291558888681085
LOC541471	0.0291795307177286
TIMM10	0.0292327248793738
ZBTB37	0.0292787420509558
RXFP2	0.0293209596395632
FMO9P	0.0293378466750061
PKIG	0.0293412240820946
PPM1G	0.0293716207458919
ZNF526	0.0293935738919677
SCARA3	0.0294345249529169
RP9P	0.0294438128224105
CD207	0.0294644994408281
WBSCR17	0.0295261371201947
STARD10	0.0296126831768397
ASSP14	0.0296283036846244
ASSP3	0.0296283036846244
LOC100288538	0.0296329476193713
IMPG2	0.0297156940930416
RAB23	0.0297764874206362
RPL31P8	0.0297857752901298
WIPF1	0.0297954853355095
C14ORF101	0.0298448799141801
ZNF397	0.0298583895425344
NFYA	0.029884564447471
C19ORF40	0.0299774431424071
C16ORF38	0.0299791318459514
TMOD1	0.0299871531877868
GNS	0.030045413460065
FGR	0.0300585009125331
NDUFB2	0.0300872088727862
MYOZ2	0.0301285821096213
UGT2B7	0.0302041515932284
MIPEP	0.0302180833974689
ITGB3BP	0.0302995633434811
SRP14	0.0303058959817721
SGTA	0.0303392478767719
ZMYM1	0.030351068801582
CDCA4	0.0304000412043665
PAPPAS	0.0304059516667715
SLC6A13	0.0304743441603154
CLEC4F	0.0305148730453784
NOL9	0.0305380927191125
OR10V1	0.0305520245233528
SPAG8	0.0305769329006312
ZFPM2	0.0306031078055677
LOC100129720	0.0306710781232256
DNAJC5	0.0306879651586685
LOC100132919	0.0307702894564528
TAPBPL	0.0308163066280348
LOC149134	0.0308213727386676
NFIC	0.0308226392663259
GSDMD	0.0308918761116419
NPY	0.0309573133739832
COLEC12	0.0309758891129704
C14ORF93	0.0309796886959451
LOC392352	0.0310219062845525
VPS28	0.0310442816065143
MLN	0.0310447037824004
CDC20P	0.0311354715979062
COL19A1	0.031244392976513
KDR	0.0313009645452469
TICAM1	0.0313208068118923
LOC100128833	0.0314588583266383
LOC100131341	0.0314749010103091
SLC12A3	0.0314757453620813
DHRS2	0.0316631914554978
LOC645158	0.0316754345561939
CLDN8	0.0316775454356243
TEAD1	0.0316859889533457
HCG18	0.031710475154738
F11	0.031722296079548
